protein,category,category_id,degree,clustering,betweenness
RB1,Cell cycle,0,17,0.5955882352941176,0.0012830417378705365
NCK2,Other,13,7,0.7142857142857143,2.9323101825312258e-06
NCK1,Other,13,10,0.7555555555555555,4.285702847342356e-05
IDH2,Other,13,16,0.9,1.3696797796414656e-05
IDH1,Other,13,19,0.7485380116959064,0.00035442274739109017
ASXL1,Other,13,11,0.9636363636363636,3.546049523061017e-06
PIK3R3,PI3K-AKT-MTOR,5,15,0.6095238095238096,0.00020768951273234462
RBL2,Cell cycle,0,12,0.5606060606060606,0.00017133014210012342
YAP1,Transcription,4,20,0.4842105263157895,0.004846033655347235
E2F3,Cell cycle,0,12,0.7424242424242424,7.367445157878084e-05
ATR,DNA repair,2,14,0.6593406593406593,0.00020564678214990515
CDKN1C,Cell cycle,0,10,0.5777777777777777,1.727141811502974e-05
KDM5C,Other,13,4,0.16666666666666666,1.3525423854407232e-06
JAG2,Notch signaling,9,8,0.6071428571428571,4.619275673392246e-05
FLT4,RTK signaling,3,8,0.2857142857142857,4.157566276554077e-05
PALB2,DNA repair,2,12,0.5757575757575758,0.00017887715709478637
PDK2,Other,13,4,1.0,0.0
XPA,DNA repair,2,7,1.0,0.0
XRCC5,DNA repair,2,13,0.47435897435897434,0.0002810633335877555
XRCC3,DNA repair,2,7,1.0,0.0
TEAD2,Transcription,4,8,0.39285714285714285,0.0002313094567806881
VAV2,Other,13,8,0.8928571428571429,2.9323101825312258e-06
NRG1,Other,13,9,0.4722222222222222,0.0016041491211377654
TEAD1,Transcription,4,8,0.4642857142857143,0.000343851772658047
